method,dataset,split,category,arm,eval_mode,metric,auroc,aupr,fpr95,n_eval,drift_delay,seed,timestamp
diversify,TSB-U-DRIFT_070_SEG_18236_079_WSD_id_51_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.44,0.4697,0.8,20,,42,2026-08-24T22:32:25
diversify,TSB-U-DRIFT_073_SEG_15285_076_WSD_id_48_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.1429,0.3742,0.8571,14,,42,2026-08-24T22:32:29
diversify,TSB-U-DRIFT_073_SEG_15285_076_WSD_id_48_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.551,0.5794,0.8571,14,,42,2026-08-24T22:32:29
diversify,TSB-U-DRIFT_074_SEG_230400_251_SVDB_id_15_Medical_tr_5,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.4615,0.4773,0.8077,52,,42,2026-08-24T22:32:31
diversify,TSB-U-DRIFT_074_SEG_230400_251_SVDB_id_15_Medical_tr_5,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.3195,0.3969,0.9231,52,,42,2026-08-24T22:32:31
diversify,TSB-U-DRIFT_075_SEG_22700_191_SMD_id_14_Facility_tr_45,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.6602,0.655,0.75,32,,42,2026-08-24T22:32:34
diversify,TSB-U-DRIFT_075_SEG_22700_191_SMD_id_14_Facility_tr_45,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.2109,0.3684,0.875,32,,42,2026-08-24T22:32:34
diversify,TSB-U-DRIFT_076_SEG_18242_113_WSD_id_85_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.0,0.4167,1.0,4,,42,2026-08-24T22:32:35
diversify,TSB-U-DRIFT_076_SEG_18242_113_WSD_id_85_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.25,0.5,1.0,4,,42,2026-08-24T22:32:35
diversify,TSB-U-DRIFT_078_SEG_10744_096_WSD_id_68_WebService_tr_,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.2041,0.3887,1.0,14,,42,2026-08-24T22:32:37
diversify,TSB-U-DRIFT_078_SEG_10744_096_WSD_id_68_WebService_tr_,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.2857,0.4316,1.0,14,,42,2026-08-24T22:32:37
diversify,TSB-U-DRIFT_083_SEG_17794_129_WSD_id_101_WebService_tr,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.6686,0.6673,0.6923,26,,42,2026-08-24T22:32:42
diversify,TSB-U-DRIFT_083_SEG_17794_129_WSD_id_101_WebService_tr,U,DRIFT,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.7751,0.8388,0.8462,26,,42,2026-08-24T22:32:42
diversify,TSB-U-DRIFT_084_SEG_20000_208_SMD_id_31_Facility_tr_50,U,DRIFT,energy,per_sample_selftrain,per_sample_auroc,0.0002,0.3104,1.0,142,,42,2026-08-24T22:32:52
